offset,latitude,longitude,url,title
579,39.734158,-86.187111,http://clui.org/ludb/site/indianapolis-waste-energy-facility,Indianapolis Waste to Energy Facility
580,41.531305,-86.021284,http://clui.org/ludb/site/birds-eye-view-museum,Bird&#039;s Eye View Museum
581,38.829527,-85.413852,http://clui.org/ludb/site/jefferson-proving-ground,Jefferson Proving Ground
582,41.661633,-87.438126,http://clui.org/ludb/site/indiana-harbor-works-steel-plant,Indiana Harbor Works Steel Plant
583,41.616013,-87.335472,http://clui.org/ludb/site/us-steels-gary-works,US Steel&#039;s Gary Works
584,41.632648,-87.140465,http://clui.org/ludb/site/burns-harbor-steel-plant,Burns Harbor Steel Plant
585,38.916148,-86.529404,http://clui.org/ludb/site/abandoned-pyramid-project,Abandoned Pyramid Project
586,41.043758,-85.058167,http://clui.org/ludb/site/fort-wayne-chemical-waste-dump,Fort Wayne Chemical Waste Dump
587,39.849931,-87.422848,http://clui.org/ludb/site/newport-chemical-depot,Newport Chemical Depot
588,39.974892,-81.822983,http://clui.org/ludb/site/national-road-zane-grey-museum,National Road/ Zane Grey Museum
589,39.782829,-84.106979,http://clui.org/ludb/site/national-museum-us-air-force,National Museum of the U.S. Air Force
590,39.278976,-84.597946,http://clui.org/ludb/site/rumpke-landfill,Rumpke Landfill
591,38.945557,-82.111946,http://clui.org/ludb/site/cheshire,Cheshire
592,40.249153,-83.057755,http://clui.org/ludb/site/big-ear-radio-observatory-site,Big Ear Radio Observatory Site
593,39.990494,-83.020561,http://clui.org/ludb/site/battelle-laboratory-columbus,Battelle Laboratory Columbus
594,40.085014,-83.123291,http://clui.org/ludb/site/dublin-corn-field,Dublin Corn Field
595,40.313833,-83.556948,http://clui.org/ludb/site/transportation-research-center,Transportation Research Center
596,41.065956,-81.482956,http://clui.org/ludb/site/goodyear-world-rubber-and-corporate-headquarters,Goodyear World of Rubber and Corporate Headquarters
597,40.063835,-82.346542,http://clui.org/ludb/site/longaberger-basket-headquarters,Longaberger Basket Headquarters
598,41.424808,-82.366732,http://clui.org/ludb/site/inland-seas-maritime-museum,Inland Seas Maritime Museum
599,40.360442,-83.759502,http://clui.org/ludb/site/oldest-concrete-street,Oldest Concrete Street
600,40.020155,-82.471093,http://clui.org/ludb/site/newark-air-base,Newark Air Base
601,39.699275,-81.731234,http://clui.org/ludb/site/big-muskie-coal-scoop-bucket,Big Muskie Coal Scoop Bucket
602,40.631916,-80.545387,http://clui.org/ludb/site/east-liverpool-hazardous-waste-incinerator,East Liverpool Hazardous Waste Incinerator
603,39.29771,-84.688538,http://clui.org/ludb/site/fernald-uranium-plant-site,Fernald Uranium Plant Site
604,41.143732,-81.339406,http://clui.org/ludb/site/partially-buried-woodshed,Partially Buried Woodshed
605,39.500418,-84.728277,http://clui.org/ludb/site/star-crossed,Star Crossed
606,41.47335,-81.666312,http://clui.org/ludb/site/ltv-steels-cleveland-works,LTV Steel&#039;s Cleveland Works
607,39.010914,-83.00119,http://clui.org/ludb/site/portsmouth-gaseous-diffusion-plant,Portsmouth Gaseous Diffusion Plant
608,40.784125,-82.502499,http://clui.org/ludb/site/mansfield-reformatory,Mansfield Reformatory
609,41.202999,-81.066002,http://clui.org/ludb/site/ravenna-depot,Ravenna Depot
610,40.370327,-83.720093,http://clui.org/ludb/site/highest-point-ohio,Highest Point in Ohio
611,39.81625,-84.047638,http://clui.org/ludb/site/wright-patterson-air-force-base,Wright-Patterson Air Force Base
612,41.668253,-83.466321,http://clui.org/ludb/site/envirosafe-chemical-waste-site,Envirosafe Chemical Waste Site
613,38.914512,-83.319776,http://clui.org/ludb/site/general-electric-peebles-test-facility,General Electric Peebles Test Facility
614,41.031958,-81.470731,http://clui.org/ludb/site/goodyear-airdock,Goodyear Airdock
615,41.413216,-81.862999,http://clui.org/ludb/site/glenn-research-center-nasa,Glenn Research Center (NASA)
616,39.174152,-84.500771,http://clui.org/ludb/site/proctor-and-gamble-ivorydale,Proctor and Gamble Ivorydale
617,41.59692,-83.088997,http://clui.org/ludb/site/davis-besse-nuclear-plant,Davis Besse Nuclear Plant
618,39.37571,-83.007545,http://clui.org/ludb/site/mound-city-chillicothe,"Mound City, Chillicothe"
619,39.94051,-82.014313,http://clui.org/ludb/site/y-bridge,Y Bridge
620,41.88736,-80.775325,http://clui.org/ludb/site/ashtabula-uranium-processing-plant,Ashtabula Uranium Processing Plant
621,39.633377,-84.286316,http://clui.org/ludb/site/mound-plant,Mound Plant
622,39.824928,-81.749458,http://clui.org/ludb/site/wilds,The Wilds
623,39.830629,-81.574266,http://clui.org/ludb/site/shenandoa-crash-site-museum,Shenandoa Crash Site Museum
624,40.564001,-84.171085,http://clui.org/ludb/site/neil-armstrong-air-and-space-museum,Neil Armstrong Air and Space Museum
625,24.700717,-81.506023,http://clui.org/ludb/site/cudjoe-key-tethered-aerostat-borne-radar-system-tars-site,Cudjoe Key Tethered Aerostat-Borne Radar System (TARS) Site
626,27.852432,-82.510071,http://clui.org/ludb/site/macdill-air-force-base,MacDill Air Force Base
627,30.594469,-87.255829,http://clui.org/ludb/site/pensacola-chemical-complex,Pensacola Chemical Complex
628,27.580118,-81.15871,http://clui.org/ludb/site/kissimmee-river-project,Kissimmee River Project
629,28.48016,-80.563087,http://clui.org/ludb/site/cape-canaveral-air-force-station,Cape Canaveral Air Force Station
630,30.353178,-87.318692,http://clui.org/ludb/site/pensacola-naval-air-station,Pensacola Naval Air Station
631,30.482569,-86.538191,http://clui.org/ludb/site/eglin-air-force-base,Eglin Air Force Base
632,28.31751,-81.539752,http://clui.org/ludb/site/celebration,Celebration
633,30.232229,-81.677814,http://clui.org/ludb/site/jacksonville-naval-air-station,Jacksonville Naval Air Station
634,30.3911,-81.416336,http://clui.org/ludb/site/mayport-naval-station,Mayport Naval Station
635,25.500589,-80.444405,http://clui.org/ludb/site/coral-castle,Coral Castle
636,25.496084,-80.389366,http://clui.org/ludb/site/homestead-air-force-reserve-base,Homestead Air Force Reserve Base
637,30.711437,-87.019615,http://clui.org/ludb/site/whiting-field-naval-air-station,Whiting Field Naval Air Station
638,30.42392,-86.688438,http://clui.org/ludb/site/hurlburt-field,Hurlburt Field
639,30.466209,-86.560829,http://clui.org/ludb/site/air-force-armament-museum,Air Force Armament Museum
640,29.499971,-83.270847,http://clui.org/ludb/site/tethered-aerostat-borne-radar-system-tars-site-0,Horseshoe Cove Tethered Aerostat-Borne Radar System (TARS) Site
641,26.904202,-80.3039,http://clui.org/ludb/site/united-technology-west-palm-beach,United Technology West Palm Beach
642,27.849758,-82.381622,http://clui.org/ludb/site/gibtown,Gibtown
643,24.576066,-81.689304,http://clui.org/ludb/site/key-west-naval-air-station,Key West Naval Air Station
644,30.06761,-85.580256,http://clui.org/ludb/site/tyndall-air-force-base,Tyndall Air Force Base
645,28.584547,-80.650806,http://clui.org/ludb/site/kennedy-space-center-nasa,Kennedy Space Center (NASA)
646,27.87405,-82.748367,http://clui.org/ludb/site/pinellas-plant,Pinellas Plant
647,28.02684,-81.845527,http://clui.org/ludb/site/ridge-generating-station,Ridge Generating Station
648,30.220285,-81.879219,http://clui.org/ludb/site/cecil-field,Cecil Field
649,27.373177,-81.977234,http://clui.org/ludb/site/solomons-castle,Solomon&#039;s Castle
650,28.238768,-80.607612,http://clui.org/ludb/site/patrick-air-force-base,Patrick Air Force Base
651,30.232384,-85.893143,http://clui.org/ludb/site/museum-man-sea,Museum of Man in the Sea
652,42.186097,-72.637954,http://clui.org/ludb/site/iso-new-england-control-center,ISO New England Control Center
653,42.675424,-73.09151,http://clui.org/ludb/site/hoosac-tunnel-west-portal,Hoosac Tunnel West Portal
654,42.360181,-71.096488,http://clui.org/ludb/site/mit-research-reactor,MIT Research Reactor
655,42.29074,-73.249841,http://clui.org/ludb/site/lee-marble-quarry,Lee Marble Quarry
656,42.712572,-72.449464,http://clui.org/ludb/site/evacuation-siren,Evacuation Siren
657,42.364174,-71.091408,http://clui.org/ludb/site/draper-lab,Draper Lab
658,42.263606,-71.411852,http://clui.org/ludb/site/old-general-motors-assembly-plant,Old General Motors Assembly Plant
659,42.614555,-71.324894,http://clui.org/ludb/site/wang-lab-headquarters-site,Wang Lab Headquarters Site
660,42.430732,-71.454831,http://clui.org/ludb/site/digital-corporation-mill-site,Digital Corporation Mill Site
661,42.033528,-70.054257,http://clui.org/ludb/site/truro-station,Truro Station
662,42.359177,-72.299995,http://clui.org/ludb/site/quabbin-reservoir,Quabbin Reservoir
663,42.477549,-71.295916,http://clui.org/ludb/site/raytheon-bedford-plant,Raytheon Bedford Plant
664,42.290073,-71.362971,http://clui.org/ludb/site/natick-army-lab,Natick Army Lab
665,41.913973,-69.971401,http://clui.org/ludb/site/marconi-transmitter-site,Marconi Transmitter Site
666,42.317182,-70.969014,http://clui.org/ludb/site/long-island-nike-missile-site,Long Island Nike Missile Site
667,41.524693,-70.671173,http://clui.org/ludb/site/woods-hole-oceanographic-institute,Woods Hole Oceanographic Institute
668,42.612067,-72.466381,http://clui.org/ludb/site/northfield-pumped-storage-project,Northfield Pumped Storage Project
669,42.623003,-71.487973,http://clui.org/ludb/site/haystack-observatory,Haystack Observatory
670,42.5055,-71.557571,http://clui.org/ludb/site/oak-ridge-observatory,Oak Ridge Observatory
671,42.258446,-71.812202,http://clui.org/ludb/site/american-sanitary-plumbing-museum,American Sanitary Plumbing Museum
672,42.459213,-71.277283,http://clui.org/ludb/site/hanscom-air-force-base,Hanscom Air Force Base
673,42.701859,-73.113907,http://clui.org/ludb/site/mass-moca-sprague-electric-site,Mass MoCA Sprague Electric Site
674,42.53606,-71.617668,http://clui.org/ludb/site/fort-devens,Fort Devens
675,41.670414,-69.939394,http://clui.org/ludb/site/chatham-breech,Chatham Breech
676,41.711464,-71.191878,http://clui.org/ludb/site/brayton-point-power-plant,Brayton Point Power Plant
677,42.334217,-71.299574,http://clui.org/ludb/site/metro-west-water-tunnel,Metro West Water Tunnel
678,42.226881,-70.852284,http://clui.org/ludb/site/hingham-ammunition-depot-site,Hingham Ammunition Depot Site
