County, FIPS,AgeAdjustedRateP100K
"Petroleum County, Montana(6,10)",30069,491.8
"Union County, New Jersey(7,8)",34039,491.7
"Warren County, Iowa(7,8)",19181,491.7
"Davison County, South Dakota(6,10)",46035,491.6
"Monroe County, Iowa(7,8)",19135,491.5
"Adams County, Wisconsin(6,10)",55001,491.4
"Custer County, Montana(6,10)",30017,491.4
"Fairfield County, Connecticut(7,8)",9001,491.3
"Tioga County, New York(6,10)",36107,491.3
"Cameron Parish, Louisiana(7,9)",22023,491.2
"Ontario County, New York(6,10)",36069,491.1
"Sussex County, New Jersey(7,8)",34037,491
"Garvin County, Oklahoma(6,10)",40049,490.9
"San Mateo County, California(7,8)",6081,490.9
"Cecil County, Maryland(6,10)",24015,490.9
"Dickson County, Tennessee(6,10)",47043,490.9
"Leake County, Mississippi(6,10)",28079,490.8
"Putnam County, Florida(6,10)",12107,490.8
"Mills County, Iowa(7,8)",19129,490.7
"Cleveland County, North Carolina(6,10)",37045,490.6
"Shiawassee County, Michigan(6,10)",26155,490.6
"Buchanan County, Missouri(6,10)",29021,490.6
"Trousdale County, Tennessee(6,10)",47169,490.5
"Madison County, Missouri(6,10)",29123,490.5
"Racine County, Wisconsin(6,10)",55101,490.5
"Harford County, Maryland(6,10)",24025,490.4
"Dodge County, Nebraska(6,10)",31053,490.4
"Webster County, Nebraska(6,10)",31181,490.2
"Clay County, Georgia(7,9)",13061,490.2
"Cerro Gordo County, Iowa(7,8)",19033,490.1
"Waldo County, Maine(6,10)",23027,490.1
"Blackford County, Indiana(6,10)",18009,489.9
"Jefferson Davis Parish, Louisiana(7,9)",22053,489.8
"Schuyler County, New York(6,10)",36097,489.8
"Wayne County, Indiana(6,10)",18177,489.7
"Kiowa County, Oklahoma(6,10)",40075,489.7
"Robertson County, Tennessee(6,10)",47147,489.7
"Taylor County, Iowa(7,8)",19173,489.5
"Lake County, Florida(6,10)",12069,489.5
"Reagan County, Texas(6,10)",48383,489.4
"Bryan County, Georgia(7,9)",13029,489.4
"St. Bernard Parish, Louisiana(7,9)",22087,489.4
"Vigo County, Indiana(6,10)",18167,489.3
"Scott County, Iowa(7,8)",19163,489.3
"Rusk County, Wisconsin(6,10)",55107,489.2
"Pearl River County, Mississippi(6,10)",28109,489
"Seneca County, New York(6,10)",36099,488.9
"Hillsborough County, New Hampshire(6,10)",33011,488.9
"Angelina County, Texas(6,10)",48005,488.9
"Poinsett County, Arkansas(6,10)",5111,488.8
"Gwinnett County, Georgia(7,8)",13135,488.6
"Auglaize County, Ohio(6,10)",39011,488.4
"Hamblen County, Tennessee(6,10)",47063,488.4
"Lake County, Ohio(6,10)",39085,488.3
"Prairie County, Montana(6,10)",30079,488.2
"Lenoir County, North Carolina(6,10)",37107,488.2
"Okeechobee County, Florida(6,10)",12093,488.1
"Overton County, Tennessee(6,10)",47133,488.1
"York County, Maine(6,10)",23031,488
"Penobscot County, Maine(6,10)",23019,488
"Canadian County, Oklahoma(6,10)",40017,487.9
"Ingham County, Michigan(6,10)",26065,487.8
"Echols County, Georgia(7,9)",13101,487.7
"Miner County, South Dakota(6,10)",46097,487.6
"Douglas County, Georgia(7,9)",13097,487.5
