County, FIPS,rate
"Warren County, New Jersey(7,8)",34041,134.1
"Cuyahoga County, Ohio(6,10)",39035,134.1
"Marion County, West Virginia(6,10)",54049,134.1
"Montgomery County, Iowa(7,8)",19137,134
"Adams County, Nebraska(6,10)",31001,134
"Lamoille County, Vermont(6,10)",50015,134
"Sumner County, Tennessee(6,10)",47165,134
"Pennington County, South Dakota(6,10)",46103,134
"Jefferson County, Alabama(6,10)",1073,133.9
"Broward County, Florida(6,10)",12011,133.9
"Nevada County, California(7,9)",6057,133.9
"Buena Vista County, Iowa(7,8)",19021,133.9
"Shoshone County, Idaho(6,10)",16079,133.9
"Clark County, Washington(6,10)",53011,133.7
"Sheboygan County, Wisconsin(6,10)",55117,133.7
"Washington County, Rhode Island(6,10)",44009,133.7
"Kiowa County, Oklahoma(6,10)",40075,133.7
"Fresno County, California(7,9)",6019,133.7
"Dane County, Wisconsin(6,10)",55025,133.7
"Colfax County, Nebraska(6,10)",31037,133.7
"Story County, Iowa(7,8)",19169,133.6
"Coahoma County, Mississippi(6,10)",28027,133.6
"Greenbrier County, West Virginia(6,10)",54025,133.6
"Douglas County, Colorado(6,10)",8035,133.6
"Moore County, Texas(6,10)",48341,133.6
"Saginaw County, Michigan(6,10)",26145,133.5 #  
"Jefferson Davis Parish, Louisiana(7,9)",22053,133.5
"Sarpy County, Nebraska(6,10)",31153,133.5
"Texas County, Oklahoma(6,10)",40139,133.4
"Schenectady County, New York(6,10)",36093,133.4
"Sumter County, Georgia(7,9)",13261,133.3
"Knox County, Indiana(6,10)",18083,133.3
"Macon County, North Carolina(6,10)",37113,133.3
"Queens County, New York(6,10)",36081,133.2
"Orange County, New York(6,10)",36071,133.2
"Cook County, Georgia(7,9)",13075,133.2
"Des Moines County, Iowa(7,8)",19057,133.1
"Forrest County, Mississippi(6,10)",28035,133.1
"Fond du Lac County, Wisconsin(6,10)",55039,133.1
"Tulsa County, Oklahoma(6,10)",40143,133.1
"Madison County, Mississippi(6,10)",28089,133
"Providence County, Rhode Island(6,10)",44007,133
"Jasper County, Iowa(7,8)",19099,133
"Cheshire County, New Hampshire(6,10)",33005,133
"Howard County, Maryland(6,10)",24027,132.9
"Yankton County, South Dakota(6,10)",46135,132.9
"Stillwater County, Montana(6,10)",30095,132.8
"Floyd County, Indiana(6,10)",18043,132.8
"Ottawa County, Ohio(6,10)",39123,132.8
"Denton County, Texas(6,10)",48121,132.7
"Jackson County, Georgia(7,9)",13157,132.7
